,School Name,Coordinates,Address,School Type,latitude,longitude
326,Masjid,"'24.6049882', '46.7204764'","3758 Loqman, Al Yamamah, Riyadh 12672",Mosque,24.6049882,46.7204764
327,Prince Abdulrahman bin Abdullah Al-Saud Al-Yamamah neighborhood mosque,"'24.5999593', '46.7208702'","3828 العشيمة, Al Yamamah, Riyadh 12674",Mosque,24.5999593,46.7208702
328,مسجد النسيج حي اليمامة,"'24.6055282', '46.7169622'","8262 المثناة،, Al Yamamah، 3420, Riyadh 12672",Mosque,24.6055282,46.7169622
329,مسجد,"'24.6007752', '46.7196011'","RCYA7737، 7737 مبايض، 3710، حي اليمامة،, Riyadh 12674،",Mosque,24.6007752,46.7196011
330,دار الذكر مقابل جامع التوحيد في الشارع الخامس بحي الجزيرة بالرياض,"'24.6700703', '46.7931928'","MQCV+29H، شارع الخامس, Al Jazirah, Riyadh 14252",Mosque,24.6700703,46.7931928
331,مسجد ابن جبرين بالجزيرة,"'24.676224', '46.7897449'","3277, Al Jazirah، 7029, Riyadh 14251",Mosque,24.676224,46.7897449
332,Al-Tawheed Mosque,"'24.6701416', '46.7934181'","MQCV+3F4, 4th, Al Jazirah, Riyadh 14251",Mosque,24.6701416,46.7934181
333,Abdul Rahman Masjid,"'24.6764507', '46.7981838'","Al Jazirah، مسجد عبدالرحمن بن مهدي - حي الجزيرة تقاطع شارع 14 مع 7, Riyadh 14251",Mosque,24.6764507,46.7981838
334,Abdul Rahman Masjid,"'24.6764507', '46.7981838'","Al Jazirah، مسجد عبدالرحمن بن مهدي - حي الجزيرة تقاطع شارع 14 مع 7, Riyadh 14251",Mosque,24.6764507,46.7981838
335,Omar ibn AlKhattab Grand Mosque,"'24.677977', '46.7939622'","MQHV+5PR، شارع 15, Al Jazirah, Riyadh 14251",Mosque,24.677977,46.7939622
336,Abdullah ibn Salamh Mosque,"'24.6752832', '46.7955914'","Al Jazirah، رقم 7, Riyadh 14251",Mosque,24.6752832,46.7955914
337,جامع السلامة بحي منفوحة,"'24.6065183', '46.7116373'","JP46+JQ3, Manfouhah Al Jadidah, Riyadh 12655",Mosque,24.6065183,46.7116373
338,Inam Ul Rub Mosque,"'24.6699627', '46.708548'","Inam Ul Rub Mosque, Al Murabba, Riyadh 12626",Mosque,24.6699627,46.708548
339,Imam Turki Bin Abdullah Grand Mosque,"'24.6307011', '46.7101265'","Imam Turki Bin Abdullah, Ad Dirah, Riyadh 12634",Mosque,24.6307011,46.7101265
340,جامع حي الضباط,"'24.6821814', '46.7195011'","7939 Al Amirah Sarah Bint Ahmad As Sadiri Ad Dhubbat Riyadh 12623 4041 Al Amirah Sarah Bint Ahmad As Sadiri, 4041, Ad Dhubbat, Riyadh 12623",Mosque,24.6821814,46.7195011
341,جامع الغامدي - Masjid Al Ghamdi,"'24.6713527', '46.71257'","3356 Al Qairawani, Al Wizarat, 6733, Riyadh 12626",Mosque,24.6713527,46.71257
342,جامع الغامدي - Masjid Al Ghamdi,"'24.6713527', '46.71257'","3356 Al Qairawani, Al Wizarat, 6733, Riyadh 12626",Mosque,24.6713527,46.71257
343,Inam Ul Rub Mosque,"'24.6699627', '46.708548'","Inam Ul Rub Mosque, Al Murabba, Riyadh 12626",Mosque,24.6699627,46.708548
344,Masjid,"'24.6739128', '46.7108493'","7001 الشويعر الحنفي, Al Wizarat, 3178، Riyadh 12626",Mosque,24.6739128,46.7108493
345,جامع المنتزه الجنوبي,"'24.668858', '46.7120225'","الوزارات، 3285, الرياض 12626، شارع، ظهران الجنوب 12626",Mosque,24.668858,46.7120225
