الحي,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile,Mean
الفاروق,1400.0,2099.647875,2520.833333333333,2650.0,2750.0,2295.7252167906922
الفرسان,391.66042624617313,414.6825396825397,457.1428571428572,483.3862433862434,511.4285714285715,451.73512983020015
الفلاح,2345.3318400000003,3637.06835,4960.5351,6885.22765,11382.16764,5695.56557368421
الفواز,1040.16,1107.6,1220.0,1274.0,1306.4,1181.0666666666666
الفوطة,1190.6641000000002,1935.0,2358.490566037736,6695.0,11422.218880000002,5694.054943849402
الفيحاء,1079.6886396850393,2222.2222,3389.951470168427,4534.960422163588,5616.969611705122,3577.1155375704006
الفيصلية,541.3440800000001,1296.634075,1708.9259860544219,2198.2937,2701.610556194984,1713.1391944382353
القادسية,1800.0,2242.3896879300396,2796.5,3803.0,5144.269015984901,3068.2278196807174
القدس,3658.4666666666667,4832.0,6215.657365540218,6836.0,8588.35864,6021.288956991452
القرى,581.06116,706.3842999999999,915.2562,1124.1281,1249.45124,915.2562
القيروان,5454.16574,6567.109289832802,8213.1661,10013.908205841448,11577.829817028944,8451.847675330884
المؤتمرات,3604.42064,3838.6378999999997,4229.0,4925.150887573965,5342.841420118343,4432.8591917159765
المحمدية,1261.3333333333335,5181.138888888889,7776.5765,9692.510822510823,12133.63698,8173.663039961616
المدينة الصناعية الجديدة,451.25,750.0,1000.0,1200.0,1983.3333333333342,1121.164131096074
المربع,2316.666653333333,2700.0,2934.026455026455,3724.0239294710327,6566.86565,3720.2478767805037
المرسلات,3593.30005,4529.4615,6606.923802370222,8329.264325356966,9760.248749999999,6538.881434167372
المرقب,1112.40344,1732.673267326733,3989.0,6659.0,25165.44278934261,8437.939538547898
المروة,1111.1111,1666.97545,2311.504,3040.0,3448.2758,2306.4100174052805
المروج,5245.0001952941175,6600.0,8042.0,9633.911368015417,11958.721165520034,8462.440527184928
المشاعل,950.0002,1350.0,1545.8162499999999,2038.81655,2320.0000000000005,1700.8196703995143
المشرق,307.91742,324.25620000000004,398.1481,492.99474999999995,547.0520799999999,419.10285
المصانع,834.8484848484848,1311.0670048619181,1730.2720254870724,2250.0,2682.5,1781.17552876224
المصفاة,400.0,500.0833472245374,675.0,866.6666666666666,1044.8000000000002,751.0554648232395
المصيف,3760.0,4522.0,6905.564924114671,8653.0457,11428.57142857143,7151.814101300043
المعارض,2121.212121212121,2121.212121212121,2121.212121212121,2121.212121212121,2121.212121212121,2121.212121212121
المعذر,4315.476183333334,5666.666616666666,7492.691,9072.778803372825,12500.0,8010.676145435957
المعيزلية,1434.5969100000002,2000.0,2563.0,3186.203275,4016.021278602598,2695.6394600220046
المغرزات,3965.2171000000003,5952.380952380952,8202.170963364993,8767.4594,9902.444340459879,7507.631487998393
الملز,1626.842105263158,2100.0,2755.555555555556,4444.222222222223,6624.26664,3774.810116779937
الملقا,4409.39499812557,6774.24055922316,7889.416656542529,9388.1586,12673.700000000004,8246.05736222867
الملك عبد الله,2762.3027043614,3300.0,4500.0,5494.238461538462,8174.999999999999,5158.728621011463
الملك عبدالعزيز,2059.385086203432,3298.3535146891727,4701.058201058201,6099.052981143261,7197.878228782289,4813.308395517029
الملك فهد,3368.84614,3800.0,4897.9647663858195,7173.206769117647,12000.0,6825.84750179229
الملك فيصل,1670.3624,3040.0,3920.0,5212.663927982334,6230.348971785197,4083.043106587998
المناخ,449.4,780.0,1054.212531752752,1300.0,1510.8,1064.8034368967087
المنار,2600.0,3071.4615384615386,4000.0,5528.5,6972.19190968956,4364.777875269612
