,Unnamed: 0.1,Unnamed: 0,School Name,Coordinates,Address,School Type,latitude,longitude,District,Address3
100,,100,Pioneers princes schools,,"3006 العماسية، 6551, Ishbiliyah, Riyadh 13226",School,24.7858199,46.7940351, Ishbiliyah, Ishbiliyah
101,,101,مدرسة أضواء الرياض الابتدائية بنين اشبيليا,,"QRX4+P3M, Najah Street, Ishbiliyah, Riyadh 13226",School,24.7993268,46.8048618, Najah Street, Najah Street
102,,102,Secondary Riyadh Civil Lights,,"7273 Ras Al Anuf, 3050, Ishbiliyah, Riyadh 13226",School,24.7928986,46.7943606, 3050, 3050
103,,103,مدارس الرواد الأهلية - المسار المصري - بنين,,"QQVX+J8J, Al Bahar Al Arabi, Ishbiliyah, Riyadh 13226",Elementary school,24.7940908,46.7979786, Al Bahar Al Arabi, Al Bahar Al Arabi
104,,104,School,,"QQVX+QCV, Ishbiliyah, Riyadh 13226",High school,24.7944962,46.7982475, Ishbiliyah, Ishbiliyah
105,,105,Pioneers princes schools,,"3006 العماسية، 6551, Ishbiliyah, Riyadh 13226",School,24.7858199,46.7940351, Ishbiliyah, Ishbiliyah
106,,106,Al Forsan International School For Girls,,"Ibn Mashal, Al Izdihar, Riyadh 12485",International school,24.7770129,46.717158, Al Izdihar, Al Izdihar
107,,107,Ahiblia Educational Complex - the pioneer schools,,"3325 Abdallah Ibn Qais, Ishbiliyah, Riyadh 13226",School,24.7945625,46.7962866, Ishbiliyah, Ishbiliyah
108,,108,Secondary Riyadh Civil Lights,,"7273 Ras Al Anuf, 3050, Ishbiliyah, Riyadh 13226",School,24.7928986,46.7943606, 3050, 3050
109,,109,Al Forsan International Schools For Boys,,"6772 Tabuk St, Al Izdihar, Riyadh 12485",International school,24.7755054,46.7199193, Al Izdihar, Al Izdihar
110,,110,Abdullah bin Abi Awfa High School,,"QQRX+JHV, Ishbiliyah, Riyadh 13226",High school,24.7916202,46.7986279, Ishbiliyah, Ishbiliyah
111,,111,School,,"QQVX+QCV, Ishbiliyah, Riyadh 13226",High school,24.7944962,46.7982475, Ishbiliyah, Ishbiliyah
112,,112,Abdullah bin Abi Awfa High School,,"QQRX+JHV, Ishbiliyah, Riyadh 13226",High school,24.7916202,46.7986279, Ishbiliyah, Ishbiliyah
113,,113,Pioneers princes schools,,"3006 العماسية، 6551, Ishbiliyah, Riyadh 13226",School,24.7858199,46.7940351, Ishbiliyah, Ishbiliyah
114,,114,Saad bin Khaithamh Elementary School,,"As Sammak, السماك،، Riyadh 13226",مدرسة ابتدائية,24.7858199,46.7940351, السماك،، Riyadh 13226, السماك،، Riyadh 13226
115,,115,Secondary Riyadh Civil Lights,,"7273 Ras Al Anuf, 3050, Ishbiliyah, Riyadh 13226",School,24.7928986,46.7943606, 3050, 3050
116,,116,زهران العناصي,,"7158 As Sammak, Ishbiliyah, 3523، Riyadh 13226",School,24.7920876,46.7991584, Ishbiliyah, Ishbiliyah
